https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1599541200000,2020-09-08 05:00:00,BTC/USDT,10273.72,10288.80,10227.15,10234.59,5556.336,57012705.05313,27254
1599537600000,2020-09-08 04:00:00,BTC/USDT,10306.49,10324.25,10240.26,10273.71,6725.496,69137311.17951,30314
1599534000000,2020-09-08 03:00:00,BTC/USDT,10339.49,10350.00,10300.00,10306.50,3838.719,39609128.25434,23346
1599530400000,2020-09-08 02:00:00,BTC/USDT,10313.43,10355.55,10310.08,10339.49,3286.148,33965161.01812,23236
1599526800000,2020-09-08 01:00:00,BTC/USDT,10323.89,10372.00,10310.00,10313.43,4163.047,43045641.34123,23050
1599523200000,2020-09-08 00:00:00,BTC/USDT,10379.30,10443.79,10311.18,10323.90,14043.621,145619611.09431,46177
1599519600000,2020-09-07 23:00:00,BTC/USDT,10389.03,10420.55,10345.84,10378.76,9065.864,94077864.57759,35774
1599516000000,2020-09-07 22:00:00,BTC/USDT,10159.91,10405.00,10159.80,10388.51,20951.493,216185144.51410,72775
1599512400000,2020-09-07 21:00:00,BTC/USDT,10154.11,10188.34,10135.00,10159.83,3685.158,37463907.77766,23785
1599508800000,2020-09-07 20:00:00,BTC/USDT,10150.63,10157.12,10089.15,10154.11,7034.596,71235707.97750,30644
1599505200000,2020-09-07 19:00:00,BTC/USDT,10175.21,10227.62,10134.92,10150.63,6973.471,70974390.27287,29527
1599501600000,2020-09-07 18:00:00,BTC/USDT,10166.91,10206.86,10160.00,10175.20,4094.134,41688348.07112,22996
1599498000000,2020-09-07 17:00:00,BTC/USDT,10201.05,10212.15,10156.38,10166.90,5273.894,53672761.10256,22318
1599494400000,2020-09-07 16:00:00,BTC/USDT,10147.25,10241.90,10127.23,10201.14,14030.600,142996976.33313,46359
1599490800000,2020-09-07 15:00:00,BTC/USDT,10016.36,10169.67,9982.82,10147.19,15881.110,160459539.57498,52249
1599487200000,2020-09-07 14:00:00,BTC/USDT,10078.75,10090.00,9990.00,10016.36,10175.214,102192529.39328,41008
1599483600000,2020-09-07 13:00:00,BTC/USDT,9950.40,10129.52,9880.08,10078.76,26839.136,268773706.20300,86500
1599480000000,2020-09-07 12:00:00,BTC/USDT,10031.60,10070.00,9879.68,9950.84,35136.173,350170091.13627,111464
1599476400000,2020-09-07 11:00:00,BTC/USDT,10073.26,10143.00,10000.00,10031.60,25282.602,254158304.24988,81698
1599472800000,2020-09-07 10:00:00,BTC/USDT,10120.00,10161.90,10060.94,10073.27,10846.420,109577893.90535,39293
1599469200000,2020-09-07 09:00:00,BTC/USDT,10143.81,10180.00,10101.50,10120.00,7043.847,71425153.09406,28713
1599465600000,2020-09-07 08:00:00,BTC/USDT,10116.20,10188.54,10106.66,10143.82,6580.269,66828762.95884,28454
1599462000000,2020-09-07 07:00:00,BTC/USDT,10083.18,10164.00,10050.01,10116.19,9219.663,93315298.22647,32197
1599458400000,2020-09-07 06:00:00,BTC/USDT,10109.13,10135.00,10064.47,10083.18,9332.313,94289205.50129,36454
1599454800000,2020-09-07 05:00:00,BTC/USDT,10173.24,10184.90,10082.11,10109.13,9822.245,99585542.19592,36813
1599451200000,2020-09-07 04:00:00,BTC/USDT,10203.82,10241.00,10167.46,10173.24,4064.996,41471377.41451,22562
1599447600000,2020-09-07 03:00:00,BTC/USDT,10211.70,10226.25,10181.01,10203.56,4168.372,42525879.21321,21331
1599444000000,2020-09-07 02:00:00,BTC/USDT,10286.05,10286.06,10196.00,10211.70,4600.567,47072901.98698,21974
1599440400000,2020-09-07 01:00:00,BTC/USDT,10282.81,10290.00,10233.52,10286.06,3679.699,37764674.12492,20099
1599436800000,2020-09-07 00:00:00,BTC/USDT,10258.13,10315.13,10243.00,10282.80,4695.113,48281421.93902,24146
1599433200000,2020-09-06 23:00:00,BTC/USDT,10212.20,10312.00,10191.78,10258.13,7685.045,78780647.05534,32410
1599429600000,2020-09-06 22:00:00,BTC/USDT,10322.41,10348.97,10186.00,10212.73,13482.376,138108027.52900,52203
1599426000000,2020-09-06 21:00:00,BTC/USDT,10230.09,10348.78,10230.09,10321.85,8948.141,92224849.99725,35288
1599422400000,2020-09-06 20:00:00,BTC/USDT,10257.53,10266.99,10218.58,10230.08,3878.733,39709943.46443,21161
1599418800000,2020-09-06 19:00:00,BTC/USDT,10239.14,10280.00,10220.17,10257.52,4893.025,50165595.37064,24195
1599415200000,2020-09-06 18:00:00,BTC/USDT,10208.30,10246.89,10181.73,10238.72,3955.095,40419040.03567,20199
1599411600000,2020-09-06 17:00:00,BTC/USDT,10244.21,10247.73,10196.90,10208.30,3884.031,39679949.15574,21558
1599408000000,2020-09-06 16:00:00,BTC/USDT,10176.25,10256.99,10145.34,10244.20,7322.834,74758855.10032,32137
1599404400000,2020-09-06 15:00:00,BTC/USDT,10233.90,10250.00,10125.56,10176.25,8158.841,83004965.73227,35525
1599400800000,2020-09-06 14:00:00,BTC/USDT,10225.82,10266.00,10178.07,10233.74,5944.497,60719347.89925,30070
1599397200000,2020-09-06 13:00:00,BTC/USDT,10248.42,10248.42,10194.03,10225.81,6055.633,61892175.56530,28867
1599393600000,2020-09-06 12:00:00,BTC/USDT,10266.45,10303.00,10231.41,10248.41,8923.641,91661021.94492,37523
