https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1602777600000,2020-10-15 16:00:00,ETH/USDT,376.63,378.51,374.00,374.91,115055.310,43263312.62581,33972
1602774000000,2020-10-15 15:00:00,ETH/USDT,375.87,377.20,374.69,376.63,50172.217,18873666.02228,22528
1602770400000,2020-10-15 14:00:00,ETH/USDT,376.99,377.16,374.40,375.87,50802.516,19084774.09055,23074
1602766800000,2020-10-15 13:00:00,ETH/USDT,375.33,377.67,373.60,376.99,85798.841,32207269.60286,28021
1602763200000,2020-10-15 12:00:00,ETH/USDT,372.01,381.35,369.50,375.33,224483.378,84026401.03275,53195
1602759600000,2020-10-15 11:00:00,ETH/USDT,373.44,373.93,371.35,372.01,58444.422,21779539.86166,26795
1602756000000,2020-10-15 10:00:00,ETH/USDT,372.33,373.66,371.57,373.43,61551.704,22938921.47965,25332
1602752400000,2020-10-15 09:00:00,ETH/USDT,375.07,375.34,370.20,372.36,219562.779,81880632.05288,51914
1602748800000,2020-10-15 08:00:00,ETH/USDT,378.90,379.68,374.61,375.07,83682.902,31520707.25674,26197
1602745200000,2020-10-15 07:00:00,ETH/USDT,379.06,379.87,378.09,378.90,38510.204,14581697.16454,14678
1602741600000,2020-10-15 06:00:00,ETH/USDT,378.74,381.28,377.30,379.03,60639.232,23000966.99003,22200
1602738000000,2020-10-15 05:00:00,ETH/USDT,377.07,379.92,376.69,378.73,38852.576,14697796.19618,18546
1602734400000,2020-10-15 04:00:00,ETH/USDT,376.74,377.82,375.36,377.06,35833.950,13495459.09041,17132
1602730800000,2020-10-15 03:00:00,ETH/USDT,375.74,377.05,375.55,376.74,24472.207,9212309.43087,15962
1602727200000,2020-10-15 02:00:00,ETH/USDT,377.57,377.92,375.55,375.75,33199.017,12509665.31519,16747
1602723600000,2020-10-15 01:00:00,ETH/USDT,377.78,379.28,376.45,377.56,42475.785,16042368.05933,19192
1602720000000,2020-10-15 00:00:00,ETH/USDT,378.75,379.20,377.11,377.77,35362.069,13375260.13902,15560
1602716400000,2020-10-14 23:00:00,ETH/USDT,377.31,379.70,377.15,378.75,50423.180,19086936.07418,19555
1602712800000,2020-10-14 22:00:00,ETH/USDT,375.53,377.67,375.53,377.30,40302.839,15177082.33660,16964
1602709200000,2020-10-14 21:00:00,ETH/USDT,376.59,377.99,375.35,375.53,33299.815,12547508.76735,17022
1602705600000,2020-10-14 20:00:00,ETH/USDT,375.07,376.85,374.71,376.59,28279.225,10620513.64624,16233
1602702000000,2020-10-14 19:00:00,ETH/USDT,375.88,376.94,374.85,375.07,33470.660,12586525.28671,17059
1602698400000,2020-10-14 18:00:00,ETH/USDT,374.61,376.35,373.32,375.88,63465.533,23787543.26057,22848
1602694800000,2020-10-14 17:00:00,ETH/USDT,375.79,375.79,373.50,374.61,83934.877,31450452.61555,23094
1602691200000,2020-10-14 16:00:00,ETH/USDT,375.90,377.70,373.12,375.79,132626.883,49813657.95653,34497
1602687600000,2020-10-14 15:00:00,ETH/USDT,381.01,381.34,375.00,375.92,137741.872,52063425.06826,36419
1602684000000,2020-10-14 14:00:00,ETH/USDT,386.69,387.72,378.54,380.94,212964.523,81443784.61524,48810
1602680400000,2020-10-14 13:00:00,ETH/USDT,381.63,387.69,381.02,386.69,127399.870,48989187.61842,37447
1602676800000,2020-10-14 12:00:00,ETH/USDT,378.95,381.92,378.30,381.63,50001.994,19024082.47491,20727
1602673200000,2020-10-14 11:00:00,ETH/USDT,379.37,381.20,378.89,378.95,44749.488,17011124.64126,19569
1602669600000,2020-10-14 10:00:00,ETH/USDT,381.59,381.99,377.63,379.38,96644.158,36693287.18887,27813
1602666000000,2020-10-14 09:00:00,ETH/USDT,382.73,383.27,381.10,381.57,29966.866,11450197.05861,17639
1602662400000,2020-10-14 08:00:00,ETH/USDT,382.43,383.25,381.58,382.73,34362.479,13148221.87572,17090
1602658800000,2020-10-14 07:00:00,ETH/USDT,382.96,383.40,381.10,382.43,38266.924,14614140.95636,16621
1602655200000,2020-10-14 06:00:00,ETH/USDT,382.47,383.33,381.08,382.97,34190.650,13062064.34680,15997
1602651600000,2020-10-14 05:00:00,ETH/USDT,382.08,382.89,381.03,382.47,33538.627,12807932.01343,16916
1602648000000,2020-10-14 04:00:00,ETH/USDT,381.41,383.08,380.02,382.09,61396.495,23423947.64481,21390
1602644400000,2020-10-14 03:00:00,ETH/USDT,382.19,383.60,381.27,381.40,28428.375,10875530.35065,18761
1602640800000,2020-10-14 02:00:00,ETH/USDT,383.69,384.13,381.77,382.19,30641.212,11722552.36589,17226
1602637200000,2020-10-14 01:00:00,ETH/USDT,384.53,384.90,382.74,383.69,33099.536,12693376.56826,16521
1602633600000,2020-10-14 00:00:00,ETH/USDT,381.11,385.09,379.78,384.54,74830.298,28654842.41485,22792
1602630000000,2020-10-13 23:00:00,ETH/USDT,381.08,382.41,380.50,381.12,23824.756,9087043.22470,17804
1602626400000,2020-10-13 22:00:00,ETH/USDT,382.76,382.99,380.81,381.08,27212.418,10386988.67017,18823
1602622800000,2020-10-13 21:00:00,ETH/USDT,380.05,383.12,379.56,382.76,46478.733,17711403.56602,22192
1602619200000,2020-10-13 20:00:00,ETH/USDT,378.12,380.20,378.02,380.05,19581.141,7422673.52064,16024
1602615600000,2020-10-13 19:00:00,ETH/USDT,377.76,380.03,377.04,378.12,36663.323,13895112.22525,18236
1602612000000,2020-10-13 18:00:00,ETH/USDT,376.41,379.48,375.95,377.76,57822.506,21846940.20009,21973
1602608400000,2020-10-13 17:00:00,ETH/USDT,380.18,380.29,376.12,376.40,43229.933,16346865.78593,19401
1602604800000,2020-10-13 16:00:00,ETH/USDT,379.15,380.59,377.44,380.18,58830.437,22304380.49034,21752
1602601200000,2020-10-13 15:00:00,ETH/USDT,379.61,380.98,378.63,379.16,73337.082,27849448.72368,25280
1602597600000,2020-10-13 14:00:00,ETH/USDT,377.83,379.74,374.25,379.61,167521.402,63212449.78359,41609
1602594000000,2020-10-13 13:00:00,ETH/USDT,382.99,382.99,375.50,377.81,210838.767,79985359.14712,51340
1602590400000,2020-10-13 12:00:00,ETH/USDT,384.57,385.44,382.50,382.95,56355.993,21640829.28006,23129
1602586800000,2020-10-13 11:00:00,ETH/USDT,384.76,385.97,383.86,384.57,56663.194,21803483.66569,22368
1602583200000,2020-10-13 10:00:00,ETH/USDT,383.54,387.54,378.67,384.74,213542.800,81887092.11374,46867
1602579600000,2020-10-13 09:00:00,ETH/USDT,384.58,384.70,382.66,383.53,37249.423,14297388.32141,18808
1602576000000,2020-10-13 08:00:00,ETH/USDT,383.10,384.70,382.75,384.58,52157.567,20014051.74909,21039
1602572400000,2020-10-13 07:00:00,ETH/USDT,383.68,383.68,380.36,383.09,72454.833,27698784.85473,24084
1602568800000,2020-10-13 06:00:00,ETH/USDT,385.07,385.12,382.79,383.68,54232.571,20813514.86333,18305
